condition_id,seed,pct_predictive,mean_population_reward,mean_prop_zone_a,mean_prop_zone_b,mean_prop_stay_out,synchronization,gini_wealth,wealth_std,total_wealth_random,mean_reward_random,total_wealth_memory,mean_reward_memory,mean_reward_predictive,total_wealth_predictive
4,16,0.45,0.5485301075607495,0.5006666666666666,0.4208133333333333,0.07852,0.5114333333333333,0.04962028959065834,27.878184591068113,6037.451492508462,0.4024967661672308,39974.64521593358,0.5922169661619789,0.5372951026025251,36267.41942567044
4,17,0.45,0.5493427530334237,0.49903333333333333,0.4223133333333334,0.07865333333333334,0.5143933333333334,0.04934725781068283,27.986246220001536,6012.170713419043,0.40081138089460283,39976.987586917516,0.5922516679543336,0.5394408096989183,36412.25465467698
4,18,0.45,0.550331228916522,0.4987733333333333,0.421,0.08022666666666665,0.5198400000000001,0.04880667240902725,27.99083118061927,6011.190097221218,0.4007460064814145,39981.79100258992,0.5923228296679988,0.5415807887061799,36556.70323766714
4,19,0.45,0.5496481653542785,0.5007466666666667,0.41968,0.07957333333333333,0.5113466666666666,0.050398272751652984,28.637264891311542,5969.266550369737,0.39795110335798245,40068.2753754461,0.5936040796362385,0.5394027092937179,36409.68287732596
5,0,0.6,0.5497699872673558,0.48484000000000005,0.42369333333333337,0.09146666666666667,0.49507999999999996,0.051759269470336156,28.89823175387482,6014.1741951192735,0.4009449463412849,27397.175154538163,0.6088261145452926,0.5450460971160654,49054.14874044589
5,1,0.6,0.5497062896979193,0.48546666666666666,0.4224133333333333,0.09212000000000001,0.4964533333333333,0.051847539223149,28.602736004840466,6083.681750765565,0.40557878338437103,27458.72889522127,0.6101939754493615,0.5434836978744564,48913.53280870107
5,2,0.6,0.550025733929618,0.4846733333333333,0.4237933333333333,0.09153333333333333,0.4949533333333333,0.05098767084510847,28.34527451133216,6087.048631214488,0.40580324208096585,27429.015072065577,0.6095336682681239,0.5443088487351412,48987.79638616271
5,3,0.6,0.5484507992949463,0.48424,0.42406666666666665,0.09169333333333332,0.49257999999999996,0.05209156162802109,28.868030929194454,6027.481227957352,0.40183208186382346,27408.710384258717,0.609082452983527,0.5425714253558438,48831.42828202594
5,4,0.6,0.550255497046373,0.4843733333333333,0.42379999999999995,0.09182666666666668,0.4947933333333333,0.05208466377599352,29.177294357114757,6014.497741299356,0.4009665160866237,27478.205460882185,0.6106267880196041,0.5449513483863822,49045.6213547744
5,5,0.6,0.5511011798980292,0.4848199999999999,0.42323333333333335,0.09194666666666666,0.49498000000000003,0.05181594717376581,28.612358852516735,6103.09766178394,0.40687317745226265,27532.616919962406,0.6118359315547202,0.544771804477311,49029.462402957986
5,6,0.6,0.5509073884194193,0.4840533333333333,0.42512,0.09082666666666667,0.49476,0.05136719159763414,28.621402932752716,6065.552295849698,0.40437015305664653,27449.41824172943,0.6099870720384317,0.5457904191703749,49121.13772533374
5,7,0.6,0.5512247170395587,0.4848533333333333,0.4233266666666667,0.09182000000000001,0.49591999999999997,0.0517722690367981,28.85128165716878,6055.889507587436,0.40372596717249576,27493.569128856423,0.6109682028634761,0.5459360991054437,49134.24891948993
5,8,0.6,0.549222688890866,0.4852133333333334,0.42344666666666664,0.09134,0.4947133333333332,0.05117709928683989,28.574884566967594,6032.930307668054,0.402195353844537,27345.658673978658,0.6076813038661923,0.5444979372442574,49004.814351983165
